"","score","review","writer","time"
"31",10,"혼자보기 너무 아까운 영화.그러나 혼자가서 보기에 너무 좋은 영화.아름다운 파리의 풍경.사랑스럽고 용감한 딜리리.다시 또 보고 싶은 영화  ","깐느가자(cann****)","2019.06.19 11:27"
"32",10,"오랜만에 파리를 눈앞에서 보는듯한 기분을 느꼈습니다. 아름다운 광경과 따뜻한 스토리에 감동  ","스마일킴(dict****)","2019.06.18 21:53"
"33",10,"재밌고 아름다운 영화 추천합니다~  ","우산이야(1004****)","2019.06.15 20:14"
"34",10,"관람객패키지여행에서 보던 파리가 아니라 우리가 그리는 딱 그 파리  ","하영희(hyh0****)","2019.06.15 12:32"
"35",10,"""Je suis heureuse de vous rencontre!""  ","박민영(pmm3****)","2019.06.14 14:20"
"36",10,"2d+3d 입체적표현 공들인영상 장인정신  멋진주제  ","챠밍덕(kois****)","2019.06.10 00:25"
"37",10,"파리를 느낄 수 있는 영화였습니다. 파리의 모습, 프랑스 예술가들, 아름다운 영상미, 소프라노 나탈리 드세이의 목소리, 사회의 차별 문제를 조화롭게 그렸네요. DVD가 출시되면 좋겠습니다.  ","시리우스(luna****)","2019.06.09 18:13"
"38",10,"오슬로다운 놀라운 영상미 & 벨에포크 시대의 전설의 인물들 대거 출연  ","피오(fano****)","2019.06.08 11:49"
"39",10,"관람객아름다운 미장센, 따뜻한 위로를 주는 메시지, 그리고 사랑스러운 캐릭터들까지 뭐 하나 빠지는 것 없이 완벽하네요! 2019년 최고의 애니메이션으로 꼽아봅니다!!  ","IDGAF(gomi****)","2019.06.05 14:03"
"40",10,"파리여행한 느낌이네요  ","박개인(okos****)","2019.06.03 13:12"
"41",10,"보면서 파리를 꼭 가보고 싶었어요.영상미 최고 ^.^  ","그러는자네는(anes****)","2019.06.02 09:41"
"42",10,"재미와 교훈, 시각적 즐거움이 모두~  ","podo****","2019.06.01 17:55"
"43",10,"예술도시 파리의 아름다움과 낭만에 한껏 취하게 만든다.  ","sunshine(sson****)","2019.05.31 10:11"
"44",10,"내용적인 면에서 깊은 울림과 많은 생각을 하게 해주네요. 이때 납치 되었던 여자 아이들과 지금의 아이들 상황이 얼마나 달라졌다고 생각하나요?  ","zzangso(zzan****)","2019.06.08 10:30"
"45",10,"관람객딜릴리가 너무 사랑스러웠다.  ","모니카(chic****)","2019.07.01 13:49"
"46",10,"관람객작화가 예술, 벨에포크 예술을 좋아하는 사람이라면 빵빵 터질 유머코드  ","스마일(sydg****)","2019.06.30 17:19"
"47",10,"관람객너무 아름답습니다. 파리의 모습을 잘 담기도했고, 캐릭터 하나하나가 모두 참 아름다웠어요.  내용도  물론 좋았구요. 더 많은 곳에서 상영했으면 좋겠습니다^^*  ","Hahahaha(ohos****)","2019.06.27 16:17"
"48",10,"정말 고급진 영상이예요  ","fore****","2019.06.22 18:42"
"49",10,"관람객기대한 만큼 너무 좋았어요! 여전한 미셸 오슬로 감독의 작품이었습니다!  ","HY(salo****)","2019.06.21 23:43"
"50",10,"관람객시각적으로도 아름답고, 지금 우리에게 강한 메시지를 주고 있습니다.  ","pret****","2019.06.21 14:52"
"51",10,"관람객파리가 너무 아름다웠고, 내용이 주는 메세지도 좋았어요. 역시 오슬로구나 했어요.  ","Hana(1986****)","2019.06.21 11:03"
"52",10,"미셸오슬로 작품은 다보고싶은...  ","재금님(worm****)","2019.06.21 02:16"
"53",10,"관람객볼거리가 많은 영화였어요파리여행을 되새길수있는 영화예요  ","imbo****","2019.06.20 22:41"
"54",10,"관람객흥미진진한 영화였습니다  ","usachanizm(yupg****)","2019.06.20 17:49"
"55",10,"관람객인권과 여성에 대한 주제를 아이들에게 쉽게 이해시킬 수도 있겠다는 생각이 들었습니다.  ","안개(aris****)","2019.06.20 12:40"
"56",10,"역사 속 인물들이 줄줄 나와서 맞추는 재미도 있고 그림과 실사가 어우러지는 아름다운 화면에 생각을 많이 하게 하는 맘 아픈 이야기까지 누가 봐도 좋을 영화인듯해요 감동적이고 아름답고도 재밌는 영화! 딜릴리는 똑부러지는 깜찍이네요  ","soni****","2019.06.09 20:48"
"57",10,"역시 믿고보는 미셸 오슬로!! 영상미가 너무좋음  ","zoro****","2019.06.09 13:47"
"58",10,"최고다 정제된 화려함 그리고 의미까지  ","smsm****","2019.06.07 22:56"
"59",10,"파리 다녀온 것이 생각나고 좋았어요  ","씨크릿(shho****)","2019.06.06 18:10"
"60",10,"아름다운 시대의 유명한 사람들과 함께하는 용감한 난민 소녀  ","하림(hari****)","2019.06.06 18:10"
"61",10,"딜릴리는 사랑스러움 그 자체.파리는 언제나 사랑.  ","ELI(iris****)","2019.06.06 16:43"
"62",10,"너무 사랑스러운 영화! 환상적인 영상미와 딜릴리 깜찍함에 빠져들어 봤네요~ 제작과정 스토리도 흥미로워요!^^ 미셸 오슬로의 다른 작품들도 상영해주세요!!!  ","박신응(shin****)","2019.06.05 22:08"
"63",10,"너무도 아름다운 영화. 관람객 수가 쑥쑥 오늘듯  ","ariy****","2019.06.05 22:01"
"64",10,"간만에 눈과 마음이 너무 즐거운 애니메이션  ","lightcollecteur(malm****)","2019.06.05 16:01"
"65",10,"관람객알고 보면 더 재밌음!!  ","11050820(jola****)","2019.06.04 01:37"
"66",10,"너무 사랑스러운 딜릴리?? 아름다운 색감이 보는내내 즐거웠다 그리고 미드나잇인파리처럼 유명인사를 보는 재미까지!!! 중간중간 그리고 마지막이 살짝 스토리가 뜨는 느낌이었지만 충분히 좋은 영화였다  ","루달스(alst****)","2019.06.01 21:45"
"67",10,"관람객파리를 좋아하는 사람들은 보면 더 좋아질 영화 ! 분위기가 너무 좋고 색감도 좋고 파리도 좋고 !  ","주리(wnfl****)","2019.05.29 23:35"
"68",10,"정말 파리에 너무 가고싶다. 근데 프랑스의 정말 예술의 벨에포크 시대가 쫙 한눈에 보여지고 과학 분야 예술분야에서 정말 엄청난 나라인것 같긴하다.. 딜릴리 너무 귀여워~  ","RNRN(oran****)","2019.05.29 16:38"
"69",10,"남자와 남자, 여자와 여자, 여자와 남자~  ","왈라리(lsja****)","2019.06.06 18:17"
"70",9,"신박한 스토리. 화려한 색감.그 시대 파리를 다녀온듯한.  ","blue(nymp****)","2019.06.08 23:49"
"71",9,"볼까말까 엄청검색해보고 본 사람입니다. 고민한 시간이 아까울정도로 시간가는줄 모르고 너무 너무 재미있게 밨어요내용 영상 사운드 스토리 결말 모두 마음에 들고 감동적이였어요  ","데이지(mj_c****)","2019.06.08 11:27"
"72",9,"관람객벨 에포크를 온전히 느낄 수 있었다  ","illu****","2019.06.11 17:26"
"73",9,"영상미가 정말 뛰어난 영화였어요 스토리도 좋지만 정말 아름다웠습니다  ","망고인데(gree****)","2019.06.08 22:42"
"74",9,"정말 예쁜 영화~ 시간 안아까움 ㅎㅎ 상영관수 넘 적어요 ㅠㅠ 파리 가고 싶네요~~  ","ripi****","2019.06.02 10:10"
"75",9,"관람객미셸 오슬로의 전작을 좋아해서 기대하며 본 영화. 파리를 여행한 기분이었습니다.  ","73(tlel****)","2019.07.01 21:50"
"76",9,"관람객에듀메이션이라고는 하지만 성인들에게도 아주 좋은 영화에요. 동화와 같은...  ","euni****","2019.06.27 14:52"
"77",9,"관람객아름다운 파리풍경과 이세상 모든 소녀와 소년들을 위함 이야기  ","sohn****","2019.06.26 17:07"
"78",9,"이럴수가, 이 조은걸 세상 사람들이 많이 못 보다니! 인권에 대해 말하고 있는듯 하지만, 그보다 더 많은 것을 생각하게 된다  ","이거니(dlsi****)","2019.06.24 16:13"
"79",9,"관람객사랑스러운영화에요 딜릴리가 다했다~  ","김현진(hale****)","2019.06.24 11:52"
"80",9,"관람객정적이지만 좋은 느낌!  ","임영걸(theg****)","2019.06.22 16:03"
"81",9,"관람객파리에 와 있는듯한 느낌으로 즐겁게 봤어요~  ","우훗(suga****)","2019.06.21 10:45"
