"","score","review","writer","time"
"33","10","관람객내가 철부지 학생 이었을 때 만난 우디. 너는 나보다 훨씬 더 배려심 깊은  어른이 되었구나..  ","테콘(tekk****)","2019.06.20 20:58"
"34","10","디즈니 넘 한거 아니냐... 어벤져스 알라딘 토이스토리4  스파이더맨 라이온킹 이러다 극장에서  살겠네..  ","헬싱(kwr8****)","2019.06.21 02:21"
"35","10","근데 어떻게 보면... 결국 보니가 놀러가서 우디 잃어버린 얘기잖아 ㅠㅜㅠ 보니야 앤디오빠 놀러오면 뭐라고할거니  ","장군도령(wjda****)","2019.06.22 07:34"
"36","10","포키: 우디는 아직 앤디를 잊지 못한 거 같아포키의 한마디에 정곡을 찔린 기분  ","정유찬(dbck****)","2019.06.21 00:19"
"37","10","평식이가 7점 줬다. 보러가자  ","뚱보디럭스(zack****)","2019.06.20 10:13"
"38","10","그래 우디 너가 행복하면 된 거야 1부터 함께 해온 친구들부터 4에서 새로 만난 친구들까지 모두 행복했으면 ! 고생했고 고마웠어  ","glgl99(joan****)","2019.06.20 15:43"
"39","10","우디는 진짜 의리있는 카우보이인듯, 주인을 자기 목숨처럼 여기고 , 장난감주인이 자신을 아끼지않아도, 주인이 좋아하는 새로운장난감이라면 끝까지 도와주는 정신은 헌신과 사랑이 있어야만 가능해서 우디는 진짜 좋은 리더인거같다.  ","브루스리(daeh****)","2019.06.21 23:39"
"40","10","자신의 정체성을 스스로 선택하는,  모든 캐릭터의 성장을 그린  영화였다. 포키의 마지막 말과 그가 초반 자주 중얼거리는 말의 대비는 매우 싱징적이었다.  ","s레드불s(sung****)","2019.06.20 19:25"
"41","10","마지막에 우디랑 버즈가 서로 껴안을때 첫만남이었던 1편, 같이활동하는 2,3편을 다본 나로써는 최고의 엔딩이었다...여기서 눈물 핑돌더라 잊지못할듯  ","ㅍㄱㅍㄱㅍㄱ(look****)","2019.06.20 19:29"
"42","10","관람객완벽한 오프닝, 눈물 펑펑 엔딩까지! 토이 스토리 4EVER!  ","얍스(naye****)","2019.06.20 10:50"
"43","10","5에서 다시 앤디 만나면 소원이 없겠다  ","갓흥민(leej****)","2019.06.22 22:34"
"44","10","어릴적부터 봤던 토이스토리였는데...우디가 떠나가듯이 나의 어린 시절도 이제 떠나가고 우디처럼 자기의 삶을 찾아가야지!! 이렇게 생각하니 정말 어릴적 모습이 영화처럼 지나가 슬프네요...  ","지놉(jwc2****)","2019.06.20 16:00"
"45","10","3편이 너무 완벽하게 끝나서 걱정했는데 괜한 걱정한듯ㅋㅋㅋ 우디가 선택한 길은 언제나 응원함ㅜㅜ 안녕 토이스토리!  ","별하(aski****)","2019.06.20 12:16"
"46","10","어벤져스에 버금가는 완벽한 엔딩이 또나왔다.  ","박동훈(ziop****)","2019.06.20 09:50"
"47","10","We love you to infinity, and beyond.  ","혜민(ci77****)","2019.06.20 11:05"
"48","10","관람객상상도 못했던 전개.... 토이스토리 1부터 우디의 성장기를 보는 기분이었다.... ㅠㅠㅠ 1편에서 새 장난감에게 질투하고 못되게 굴던 녀석이... 우디.... ㅠㅠㅠㅠ 넌 나의 친구야.... ㅠㅠㅠㅠ  ","Mellow(rin_****)","2019.06.21 13:49"
"49","10","어른이 되고 나니, 우디가 놓인 상황에 나를 투영시킬 수 있었다. 그러면서도 나와는 달리 아낌없이 주는 우디의 순수함이 너무 포근하고 따뜻해서 눈물이 나왔다.  ","미라크리(pooh****)","2019.06.21 06:15"
"50","10","우디,, 너의 선택을 응원해ㅠㅠ  ","동화(ehdg****)","2019.06.20 15:13"
"51","10","관람객마지막에 정말 스프링쿨러처럼 울었다네요... 토이스토리를 사랑하고 앤디의 장난감을 사랑했다면 꼭 보세요  ","rise****","2019.06.20 14:51"
"52","10","앤디가 젤 아끼는 장난감이라고 잘부탁한다고 우디를 보니에게 줬는데 앤디에게 최고의 장난감이 우디였듯 보니에게 최고의 장난감은 제시인가봐요 그냥 모든게 다 슬퍼ㅠㅠㅠ우리집에 있는 우디는 앤디의 장난감인데 ㅠㅠ  ","양념촉촉(supo****)","2019.06.22 00:15"
"53","10","내 어렸을 적 장난감들은 날 어떻게 기억할까? 잃어버린지 알았던 장난감이 자신의 삶을 사려 떠난건 아니었을까.그 장난감들에게 앤디같은 주인이었길  ","아나어(wwkd****)","2019.06.20 13:35"
"54","10","모든 사람들 마음 한편에는 우리가 잊어버린 우디가 존재한다  ","난리나(ckdd****)","2019.06.20 16:56"
"55","10","그래 우디야 넌 그런친구지 보니에게도 그렇게 충성스럽구나 5탄에서  버즈랑 다시 재회해주라 보니는 우디가 너에게 포키를 지켜주려고 얼마나 잠도 못자고 고생했는지 평생 모르겠지 앤디가 얼마나 잘부탁했는데 장농신세를 만들고ㅜㅜ  ","미듬이(sunu****)","2019.06.20 23:01"
"56","10","3편에서 끝내야했다고?? 일단 봐라  ","황시nn(cawj****)","2019.06.20 14:01"
"57","10","무한한 공간 저 넘어로...  ","토미(hong****)","2019.06.20 19:32"
"58","10","우디보고 '내 카우보이다' 했으면서ㅠㅠ 그럴거면 앤디랑 같이가게 놔두지ㅠㅠㅠㅜ  ","YJ(jinn****)","2019.06.22 17:35"
"59","10","관람객기대반 걱정반 으로 기다렸는데 갓즈니 갓사 앞에서 걱정을 왜했나싶고.. 하.. 3편도 좋았는데 4편도 좋고 1편도 좋고 2편도 좋고... 토이스토리 는 그저 사랑입니다... 토이4를 극장에서 볼 수 있게 잘 살아와서 다행이야 ♥  ","나는자연인이다(dame****)","2019.06.20 10:51"
"60","10","자신의 행복을 찾아 떠나요. 우리 모두  ","사과(luff****)","2019.06.20 13:25"
"61","10","난 단 한번도 픽사를 의심한 적이 없다  ","안건영(ahng****)","2019.06.20 17:41"
"62","10","마지막 로고 쿠키가 화룡점정!  ","dasia(ohds****)","2019.06.20 11:12"
